id,BILL_SUB_SYS,RECORD STATUS,ORDER TYPE,ORDER NUMBER,PHONE NUMBER,BILL WITH NUMBER,NAME FORMAT,LAST NAME,FIRST NAME,CUSTOMER NEGOTIATED,PLANNING SCHEDULE,DUE TIME,EST. WORK UNITS,ACTIVE CONTACT DATE,ACTIVE CONTACT TIME,ACTIVE DUE YEAR,ACTIVE DUE MONTH,ACTIVE DUE DAY,ACTIVE ISR DATE,ACTIVE NOT COMPLETE CODE,ISSUED BY EMP NUMBER,EFF. COMP. DATE,ACT. COMP. DATE,COMPLETION TIME,S/O CREATED,S/O POSTED,ASSIGNED TO,COMPLETED BY,WORK ORDER,BEGINNING WORK DATE,MILES DRIVEN,HOURS WORKED,RESIDENTIAL Y/N,ISR CODE,UPDATE CODE,PRINTED Y/N,FLAGGED FOR PRINT Y/N,PHYSICAL ADDRESS CONTROL #,STATE,CITY,SUBDIVISION,STREET NAME,STREET SUBTITLE,STREET DIRECTION,STREET NUMBER,ST. SUBDESCRIPTION,BUILDING NUMBER,BUILDING SUB NUMBER,BILLING CYCLE,PRINT AT LOCATION 1,PRINT AT LOCATION 2,PRINT AT LOCATION 3,PRINT AT LOCATION 4,PRINT AT LOCATION 5,PRINT AT LOCATION 6,PRINT AT LOCATION 7,PRINT AT LOCATION 8,PRINT AT LOCATION 9,PRINT AT LOCATION 10,PRINT AT LOCATION 11,PRINT AT LOCATION 12,PRINT AT LOCATION 13,PRINT AT LOCATION 14,PRINT AT LOCATION 15,PRINT AT LOCATION 16,PRINT AT LOCATION 17,PRINT AT LOCATION 18,PRINT AT LOCATION 19,PRINT AT LOCATION 20,NOT USED FLAG #01,AUTO ASSIGN BILL CYCLE M/A,Order Origination Code,NOT USED FLAG #04,NOT USED FLAG #05,Alt. Phone# Tfr Order#,Sold By Employee#,Account PIN#,STAGE CODE,SAM SEQUENCE #,BUILDING NAME,TC WORK STATUS,TC WORK CHANGE DATE,TC WORK CHANGE TIME,WAM WORK STATUS,WAM WORK CHANGE DATE,WAM WORK CHANGE TIME,FRME WORK STATUS,FRAME WORK CHANGE DATE,FRAME WORK CHANGE TIME,PLANT TRAIT CODE,AUTO STAGED Y/N,NEW CONSTRUCTION Y/N,TECH NOTES INCLUDED Y/N,PRIMARY SERVICE FLAG,Begin Work Time,End Work Date,End Work Time,Allow Order Deactivate,Deactivate Date,Deactivate Time,Deactivate User,Customer will Advise? Y/N,Channel Code,Partner Id#,Referral Id#,Lead Tracking Number,Marketing Program,Appointment Flag Y/N,HSI Flag HI/HO/HL,No Access Flag,Part of a Cut,Post Pre-Edit Flag,LAST_UPD_USER,EXT_DTTM
AZ421615155,AZ,,RO,421615155,6949843468,6949843468,Y,GOODMAN,ADALYN,Y,TC,1700,0,20240520,1648,2024,05,20,20140825,,196972,20140825,20140825,0,20140825,20140825,0,999999,,20140825,0,0,Y,CN,2,N,N,8370654,AZ,KGM,,CHURCH,LP,,3068,,0,,5,,,,,,,,,,,,,,,,,,,,,1,,C,,,,58758,8888,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ424148949,AZ,,RC,424148949,5432531067,5432531067,Y,PENA,NORA,Y,TC,1700,0,20240511,1332,2024,05,11,20141110,,953052,20141110,20141110,0,20141110,20141117,0,999999,,20141110,0,0,Y,CN,2,N,N,8042669,AZ,KGM,,MONROE,DR,N,10521,,0,,5,,,,,,,,,,,,,,,,,,,,,7,,C,,,,59714,1357,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,HO,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ476709923,AZ,,CD,476709923,3383105949,3383105949,Y,OROZCO,KELLEN,N,,0,0,20240511,1431,2024,05,11,0,,712444,20191016,20191016,1445,20191016,20191016,0,999999,,0,0,0,Y,CN,2,N,N,1275415,AZ,KGM,,11TH,AVE,E,3590,,0,,9,,,,,,,,,,,,,,,,,,,,,1,,C,,,,959432,2447,END,1,,A,0,0,N,0,0,N,0,0,*STOPFOROC,M,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ506865882,AZ,,TD,506865882,8575425202,8575425202,N,GOOD,MATHEW,N,TC,1700,12,20240405,1533,2024,04,05,20140825,,531487,20140825,20140825,0,20140825,20140825,0,999999,,20140825,0,0,N,RS,2,N,N,3899066,AZ,BHC,,RIVERSIDE,RD,,2767,,0,,10,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,3120,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ520816151,AZ,,CD,520816151,9063038138,9063038138,N,HAHN,DAMARI,N,,0,0,20240417,1509,2024,04,17,0,,450282,20150706,20150706,0,20150702,20150706,0,999999,,20150702,0,0,N,CN,2,N,N,6020459,AZ,KGM,,3RD,RD,,3269,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,G,,,,97139,4810,NQC,1,,N,0,0,N,0,0,N,0,0,,M,,,,0,0,0,Y,0,0,,,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ534873024,AZ,,CD,534873024,6358645956,6358645956,Y,MARSHALL,EDWARD,N,,0,0,20240525,1535,2024,05,25,0,,604811,20161219,20161219,0,20161219,20161219,0,999999,,20161219,0,0,Y,CN,2,N,N,6850632,AZ,BHC,,HAWTHORNE,,,2633,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,57048,8143,END,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ566511234,AZ,,CO,566511234,1619203755,1619203755,N,KOCH,KADE,Y,TC,1700,0,20240518,1544,2024,05,18,20131223,,555569,20131223,20131223,0,20131218,20131224,0,999999,,20131218,0,0,N,CN,2,N,N,8916488,AZ,LHC,,BROOK,AVE,,2041,BJ205,0,,30,,,,,,,,,,,,,,,,,,,,,1,M,,,,,33609,3939,MQC,1,,A,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ578596346,AZ,,PR,578596346,5615694399,5615694399,Y,HARDIN,ANTWAN,N,TC,1700,10,20240522,1516,2024,05,22,20180220,,494093,20180220,20180220,0,20180220,20180220,0,999999,,20180220,0,0,Y,RS,2,N,N,6054450,AZ,KGM,,LAKE,DR,N,9775,,0,,28,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,2934,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ626617266,AZ,,CR,626617266,6320979682,6320979682,Y,BARR,TIANNA,N,TC,1700,1,20240523,1533,2024,05,23,20211006,,337113,20211006,20211006,0,20211006,20211006,0,999999,,20211006,0,0,Y,CN,2,N,N,7476495,AZ,BHC,,HARRISON,RD,,932,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,6237,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ673254617,AZ,,RI,673254617,6027284149,6027284149,Y,WEST,ODIN,Y,KGM I,1700,0,20240412,1428,2024,04,12,20180327,,639863,20180326,20180326,1900,20180312,20180326,67950,67950,,20180319,0,0,Y,CN,2,N,N,2711571,AZ,GVY,,13TH,RD,S,1725,,0,,26,,,,,,,,,,,,,,,,,,,,,1,A,C,,,,16181,8323,END,1,,A,0,0,C,20180326,175337,N,0,0,*WFMREQ,A,N,,,0,0,0,N,0,0,,N,217,16382,0,0,0,Y,HI,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ693180052,AZ,,CD,693180052,3358891648,3358891648,Y,PACE,COLTON,,,0,0,20240509,1441,2024,05,09,0,,249073,20140530,20140530,941,20140530,20140530,0,77777,,0,0,0,Y,CN,2,N,N,7671325,AZ,BHC,,MAIN,DR,,818,,0,,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,3470,***,1,,N,0,0,N,0,0,N,0,0,,,,,,0,0,0,Y,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ718035636,AZ,,CD,718035636,9746425054,9746425054,N,ROBERTSON,ZACHARIAH,N,,0,0,20240514,1356,2024,05,14,0,,181208,20180308,20180308,0,20180308,20180308,0,999999,,0,0,0,Y,CN,2,N,N,5696245,AZ,KGM,,CREEK,AVE,E,3724,,0,,5,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,7504,END,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ734829459,AZ,,RC,734829459,5755879510,5755879510,Y,BRIGGS,MAX,Y,RESSH,1700,0,20240511,1410,2024,05,11,20130405,,569752,20130405,20130405,0,20130405,20130406,0,999999,,20130405,0,0,Y,CN,2,N,N,7939966,AZ,KGM,,HILLSIDE,AVE,E,1065,,0,,5,,,,,,,,,,,,,,,,,,,,,2,M,,,,,70004,2562,MQC,1,,A,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,202,15458,0,930620,0,,HL,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ764076822,AZ,,RI,764076822,5010809557,5010809557,Y,BARNES,GAIGE,Y,BHN I,1700,0,20240525,1453,2024,05,25,20140423,,640126,20140423,20140423,1000,20140408,20140423,21214,21214,,20140423,0,0,Y,CN,2,N,N,1512348,AZ,TPK,,CANAL,DR,E,5438,,0,,15,,,,,,,,,,,,,,,,,,,,,1,A,C,,,,65414,6069,MQC,1,,A,0,0,C,20140423,134111,N,0,0,*FRMCHG,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,Y,HI,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ770241316,AZ,,RC,770241316,8032005997,8032005997,Y,HANSON,ZAID,Y,TC,1700,0,20240405,1326,2024,04,05,20160908,,307211,20160908,20160908,0,20160908,20160908,0,999999,,20160908,0,0,Y,CN,2,N,N,135450,AZ,LHC,,MEADOW,RD,E,4019,,0,,1,,,,,,,,,,,,,,,,,,,,,1,M,,,,,71972,8430,MQC,1,,A,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ790757797,AZ,,RC,790757797,1186582354,1186582354,Y,HOOVER,KODY,Y,TC,1700,0,20240413,1034,2024,04,13,20141010,,500374,20141010,20141010,0,20141010,20141010,0,999999,,20141010,0,0,Y,CN,2,N,N,692877,AZ,TPK,,VALLEY,DR,E,4982,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,C,,,,65777,2287,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,HL,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ878572532,AZ,,CD,878572532,1918140281,1918140281,N,LAM,JAYLENE,N,,0,0,20240415,1019,2024,04,15,0,,402635,20130925,20130925,0,20130925,20130925,0,999999,,20130925,0,0,N,CN,2,N,N,5515395,AZ,KGM,,WESTMINSTER,RD,,3269,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,G,,,,402409,7849,RQC,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,Y,0,0,,,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ879849173,AZ,,CR,879849173,4902592897,4902592897,Y,PETTY,TATUM,N,TC,1700,1,20240418,1410,2024,04,18,20230104,,697888,20230104,20230104,0,20230104,20230104,0,999999,,20230104,0,0,Y,CN,2,N,N,8090731,AZ,KGM,,EDGEWOOD,AVE,,2040,BACK HSE,0,,16,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,4122,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ895959148,AZ,,RR,895959148,7354579651,7354579651,Y,SANTANA,CASEY,N,TC,1700,10,20240520,1531,2024,05,20,20171218,,11444,20171218,20171218,0,20171218,20171218,0,999999,,20171218,0,0,Y,CN,2,N,N,2984664,AZ,MDV,,HERITAGE,LN,E,35,,0,,25,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,4863,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ914612733,AZ,,YO,914612733,2253552409,2253552409,Y,DIXON,KAMARI,Y,TC,1700,0,20240421,1427,2024,04,21,20190102,,361104,20190102,20190102,0,20190102,20190102,0,999999,,20190102,0,0,Y,CN,2,N,N,6000180,AZ,BHC,,SOMERSET,DR,,1041,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,C,,,,814384,9944,END,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ977474895,AZ,,CD,977474895,4477302286,4477302286,Y,FREEMAN,LANDON,N,,0,0,20240522,1450,2024,05,22,0,,715333,20131109,20131109,0,20131109,20131109,0,999999,,0,0,0,Y,CN,2,N,N,2292415,AZ,GVY,,CEMETERY,TRL,S,6164,,0,,5,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,3571,RQC,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA103282575,CA,,CD,103282575,8587709195,8587709195,Y,MASON,MYLEE,N,,0,0,20240422,0849,2024,04,22,0,,733447,20140204,20140204,0,20140204,20140204,0,999999,,20140204,0,0,Y,CN,2,N,N,767262,CA,ELK,,CHESTNUT,CT,,10350,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,,,,,92606,2882,RQC,1,FIBER TO CURB,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA127984611,CA,,CD,127984611,5124910547,5124910547,N,HUDSON,CHARLEE,,,0,0,20240418,1341,2024,04,18,0,,498590,20190704,20190704,717,20190704,20190704,0,77777,,0,0,0,N,CN,2,N,N,6427921,CA,SAC,,WEST,RD,,6600,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,9076,***,1,,N,0,0,N,0,0,N,0,0,,,,,,0,0,0,Y,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA133770704,CA,,CD,133770704,7202299285,7202299285,Y,WILKERSON,KOEN,N,,0,0,20240524,1003,2024,05,24,0,,961450,20170605,20170605,0,20170605,20170605,0,999999,,0,0,0,Y,CN,2,N,N,2569179,CA,SAC,,LINDA,WY,,7735,,0,,28,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,5721,END,1,DSL,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA150709393,CA,,CD,150709393,1376985558,1376985558,Y,HARRISON,CORA,N,,0,0,20240418,1526,2024,04,18,0,,534693,20150127,20150127,0,20150127,20150127,0,999999,,0,0,0,Y,CN,2,N,N,92725,NV,EKO,,6TH,AVE,,814,,0,,22,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,1539,RQC,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA151337793,CA,,CD,151337793,1379277028,1379277028,Y,GRIFFITH,KAMRON,N,,0,0,20240401,1514,2024,04,01,0,,269696,20160608,20160608,0,20160608,20160608,0,999999,,20160608,0,0,Y,CN,2,N,N,7072520,CA,ALT,,CEDAR,ST,N,1309,,0,,22,,,,,,,,,,,,,,,,,,,,,1,,,,,,56076,8933,RQC,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA153388794,CA,,CR,153388794,9739777746,9739777746,Y,RHODES,HASSAN,N,TC,1700,12,20240412,1416,2024,04,12,20130625,,564606,20130625,20130625,0,20130625,20130626,0,999999,,20130625,0,0,Y,CN,2,N,N,5305701,UT,DEL,,CEDAR,,W,1955,,0,,25,,,,,,,,,,,,,,,,,,,,,2,,R,,,,0,2593,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA157085372,CA,,CD,157085372,9885544120,9885544120,Y,CRUZ,ADRIAN,N,,0,0,20240411,1519,2024,04,11,0,,859077,20170607,20170607,1130,20170607,20170607,0,0,,20170607,0,0,N,CN,2,N,N,2134674,CA,LNG,,COURT,,,2005,,0,,15,,,,,,,,,,,,,,,,,,,,,1,,S,,,,0,5876,***,1,,N,0,0,N,0,0,N,0,0,,N,N,N,N,0,0,0,Y,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA162949256,CA,,RC,162949256,5528528922,5528528922,Y,SPARKS,TONY,Y,RESSH,1700,0,20240411,1401,2024,04,11,20130104,,309336,20130108,20130108,1230,20130104,20130109,60828,60828,,20130104,0,0,Y,CN,2,N,N,7988445,CA,MON,,MAIN,DR,,30272,,0,,10,,,,,,,,,,,,,,,,,,,,,1,,C,,,,408281,1654,MQC,1,,N,0,0,C,20130108,204233,N,0,0,*FRMCHG,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,Y,HI,,,P,INF_BATCH_USER,1/13/2023 2:00
CA184032426,CA,,RO,184032426,3357547351,3357547351,Y,OSBORN,VICENTE,Y,RESSH,1700,0,20240418,1441,2024,04,18,20130506,,856872,20130503,20130506,0,20130503,20130506,0,999999,,20130506,0,0,Y,CN,2,N,N,215823,CA,PSN,,LAKE,AV,,544,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,C,,,,62986,4390,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA184881506,CA,,TD,184881506,7772797550,7772797550,Y,ROACH,MALIYAH,N,TC,1700,1,20240409,1507,2024,04,09,20230103,,631182,20230103,20230103,0,20230103,20230103,0,999999,,20230103,0,0,Y,RS,2,N,N,1149315,CA,WIM,,RAILROAD,,,451,,0,,12,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,9957,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA186976759,CA,,CR,186976759,8900058018,8900058018,Y,RUIZ,CHARLIZE,N,RESSH,1700,10,20240424,1513,2024,04,24,20151217,,736216,20151217,20151217,0,20151217,20151217,0,999999,,20151217,0,0,Y,CN,2,N,N,4614105,CA,CLB,,POPLAR,AV,,35910,,0,,28,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,1925,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
