id,BILL_SUB_SYS,RECORD STATUS,ORDER TYPE,ORDER NUMBER,PHONE NUMBER,BILL WITH NUMBER,NAME FORMAT,LAST NAME,FIRST NAME,CUSTOMER NEGOTIATED,PLANNING SCHEDULE,DUE TIME,EST. WORK UNITS,ACTIVE CONTACT DATE,ACTIVE CONTACT TIME,ACTIVE DUE YEAR,ACTIVE DUE MONTH,ACTIVE DUE DAY,ACTIVE NOT COMPLETE CODE,ISSUED BY EMP NUMBER,COMPLETION TIME,ASSIGNED TO,COMPLETED BY,WORK ORDER,MILES DRIVEN,HOURS WORKED,RESIDENTIAL Y/N,ISR CODE,UPDATE CODE,PRINTED Y/N,FLAGGED FOR PRINT Y/N,PHYSICAL ADDRESS CONTROL #,STATE,CITY,SUBDIVISION,STREET NAME,STREET SUBTITLE,STREET DIRECTION,STREET NUMBER,ST. SUBDESCRIPTION,BUILDING NUMBER,BUILDING SUB NUMBER,BILLING CYCLE,PRINT AT LOCATION 1,PRINT AT LOCATION 2,PRINT AT LOCATION 3,PRINT AT LOCATION 4,PRINT AT LOCATION 5,PRINT AT LOCATION 6,PRINT AT LOCATION 7,PRINT AT LOCATION 8,PRINT AT LOCATION 9,PRINT AT LOCATION 10,PRINT AT LOCATION 11,PRINT AT LOCATION 12,PRINT AT LOCATION 13,PRINT AT LOCATION 14,PRINT AT LOCATION 15,PRINT AT LOCATION 16,PRINT AT LOCATION 17,PRINT AT LOCATION 18,PRINT AT LOCATION 19,PRINT AT LOCATION 20,NOT USED FLAG #01,AUTO ASSIGN BILL CYCLE M/A,Order Origination Code,NOT USED FLAG #04,NOT USED FLAG #05,Alt. Phone# Tfr Order#,Sold By Employee#,Account PIN#,STAGE CODE,SAM SEQUENCE #,BUILDING NAME,TC WORK STATUS,TC WORK CHANGE DATE,TC WORK CHANGE TIME,WAM WORK STATUS,WAM WORK CHANGE DATE,WAM WORK CHANGE TIME,FRME WORK STATUS,FRAME WORK CHANGE DATE,FRAME WORK CHANGE TIME,PLANT TRAIT CODE,AUTO STAGED Y/N,NEW CONSTRUCTION Y/N,TECH NOTES INCLUDED Y/N,PRIMARY SERVICE FLAG,Begin Work Time,End Work Date,End Work Time,Allow Order Deactivate,Deactivate Date,Deactivate Time,Deactivate User,Customer will Advise? Y/N,Channel Code,Partner Id#,Referral Id#,Lead Tracking Number,Marketing Program,Appointment Flag Y/N,HSI Flag HI/HO/HL,No Access Flag,Part of a Cut,Post Pre-Edit Flag,LAST_UPD_USER,EXT_DTTM
AZ421615155,AZ,,RO,421615155,6949843468,6949843468,Y,GOODMAN,ADALYN,Y,TC,1700,0,1/22/2024,1648,2024,5,20,,196972,0,0,999999,,0,0,Y,CN,2,N,N,8370654,AZ,KGM,,CHURCH,LP,,3068,,0,,5,,,,,,,,,,,,,,,,,,,,,1,,C,,,,58758,8888,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ424148949,AZ,,RC,424148949,5432531067,5432531067,Y,PENA,NORA,Y,TC,1700,0,1/21/2024,1332,2024,5,11,,953052,0,0,999999,,0,0,Y,CN,2,N,N,8042669,AZ,KGM,,MONROE,DR,N,10521,,0,,5,,,,,,,,,,,,,,,,,,,,,7,,C,,,,59714,1357,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,HO,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ476709923,AZ,,CD,476709923,3383105949,3383105949,Y,OROZCO,KELLEN,N,,0,0,1/22/2024,1431,2024,5,11,,712444,1445,0,999999,,0,0,Y,CN,2,N,N,1275415,AZ,KGM,,11TH,AVE,E,3590,,0,,9,,,,,,,,,,,,,,,,,,,,,1,,C,,,,959432,2447,END,1,,A,0,0,N,0,0,N,0,0,*STOPFOROC,M,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ506865882,AZ,,TD,506865882,8575425202,8575425202,N,GOOD,MATHEW,N,TC,1700,12,1/1/2024,1533,2024,4,5,,531487,0,0,999999,,0,0,N,RS,2,N,N,3899066,AZ,BHC,,RIVERSIDE,RD,,2767,,0,,10,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,3120,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ520816151,AZ,,CD,520816151,9063038138,9063038138,N,HAHN,DAMARI,N,,0,0,1/21/2024,1509,2024,4,17,,450282,0,0,999999,,0,0,N,CN,2,N,N,6020459,AZ,KGM,,3RD,RD,,3269,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,G,,,,97139,4810,NQC,1,,N,0,0,N,0,0,N,0,0,,M,,,,0,0,0,Y,0,0,,,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ534873024,AZ,,CD,534873024,6358645956,6358645956,Y,MARSHALL,EDWARD,N,,0,0,1/9/2024,1535,2024,5,25,,604811,0,0,999999,,0,0,Y,CN,2,N,N,6850632,AZ,BHC,,HAWTHORNE,,,2633,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,57048,8143,END,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ566511234,AZ,,CO,566511234,1619203755,1619203755,N,KOCH,KADE,Y,TC,1700,0,1/30/2024,1544,2024,5,18,,555569,0,0,999999,,0,0,N,CN,2,N,N,8916488,AZ,LHC,,BROOK,AVE,,2041,BJ205,0,,30,,,,,,,,,,,,,,,,,,,,,1,M,,,,,33609,3939,MQC,1,,A,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ578596346,AZ,,PR,578596346,5615694399,5615694399,Y,HARDIN,ANTWAN,N,TC,1700,10,1/6/2024,1516,2024,5,22,,494093,0,0,999999,,0,0,Y,RS,2,N,N,6054450,AZ,KGM,,LAKE,DR,N,9775,,0,,28,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,2934,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ626617266,AZ,,CR,626617266,6320979682,6320979682,Y,BARR,TIANNA,N,TC,1700,1,1/24/2024,1533,2024,5,23,,337113,0,0,999999,,0,0,Y,CN,2,N,N,7476495,AZ,BHC,,HARRISON,RD,,932,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,6237,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ673254617,AZ,,RI,673254617,6027284149,6027284149,Y,WEST,ODIN,Y,KGM I,1700,0,1/11/2024,1428,2024,4,12,,639863,1900,67950,67950,,0,0,Y,CN,2,N,N,2711571,AZ,GVY,,13TH,RD,S,1725,,0,,26,,,,,,,,,,,,,,,,,,,,,1,A,C,,,,16181,8323,END,1,,A,0,0,C,20180326,175337,N,0,0,*WFMREQ,A,N,,,0,0,0,N,0,0,,N,217,16382,0,0,0,Y,HI,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ693180052,AZ,,CD,693180052,3358891648,3358891648,Y,PACE,COLTON,,,0,0,1/29/2024,1441,2024,5,9,,249073,941,0,77777,,0,0,Y,CN,2,N,N,7671325,AZ,BHC,,MAIN,DR,,818,,0,,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,3470,***,1,,N,0,0,N,0,0,N,0,0,,,,,,0,0,0,Y,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ718035636,AZ,,CD,718035636,9746425054,9746425054,N,ROBERTSON,ZACHARIAH,N,,0,0,1/29/2024,1356,2024,5,14,,181208,0,0,999999,,0,0,Y,CN,2,N,N,5696245,AZ,KGM,,CREEK,AVE,E,3724,,0,,5,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,7504,END,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ734829459,AZ,,RC,734829459,5755879510,5755879510,Y,BRIGGS,MAX,Y,RESSH,1700,0,1/8/2024,1410,2024,5,11,,569752,0,0,999999,,0,0,Y,CN,2,N,N,7939966,AZ,KGM,,HILLSIDE,AVE,E,1065,,0,,5,,,,,,,,,,,,,,,,,,,,,2,M,,,,,70004,2562,MQC,1,,A,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,202,15458,0,930620,0,,HL,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ764076822,AZ,,RI,764076822,5010809557,5010809557,Y,BARNES,GAIGE,Y,BHN I,1700,0,1/20/2024,1453,2024,5,25,,640126,1000,21214,21214,,0,0,Y,CN,2,N,N,1512348,AZ,TPK,,CANAL,DR,E,5438,,0,,15,,,,,,,,,,,,,,,,,,,,,1,A,C,,,,65414,6069,MQC,1,,A,0,0,C,20140423,134111,N,0,0,*FRMCHG,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,Y,HI,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ770241316,AZ,,RC,770241316,8032005997,8032005997,Y,HANSON,ZAID,Y,TC,1700,0,1/16/2024,1326,2024,4,5,,307211,0,0,999999,,0,0,Y,CN,2,N,N,135450,AZ,LHC,,MEADOW,RD,E,4019,,0,,1,,,,,,,,,,,,,,,,,,,,,1,M,,,,,71972,8430,MQC,1,,A,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ790757797,AZ,,RC,790757797,1186582354,1186582354,Y,HOOVER,KODY,Y,TC,1700,0,1/22/2024,1034,2024,4,13,,500374,0,0,999999,,0,0,Y,CN,2,N,N,692877,AZ,TPK,,VALLEY,DR,E,4982,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,C,,,,65777,2287,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,HL,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ878572532,AZ,,CD,878572532,1918140281,1918140281,N,LAM,JAYLENE,N,,0,0,1/24/2024,1019,2024,4,15,,402635,0,0,999999,,0,0,N,CN,2,N,N,5515395,AZ,KGM,,WESTMINSTER,RD,,3269,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,G,,,,402409,7849,RQC,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,Y,0,0,,,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ879849173,AZ,,CR,879849173,4902592897,4902592897,Y,PETTY,TATUM,N,TC,1700,1,1/25/2024,1410,2024,4,18,,697888,0,0,999999,,0,0,Y,CN,2,N,N,8090731,AZ,KGM,,EDGEWOOD,AVE,,2040,BACK HSE,0,,16,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,4122,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ895959148,AZ,,RR,895959148,7354579651,7354579651,Y,SANTANA,CASEY,N,TC,1700,10,1/12/2024,1531,2024,5,20,,11444,0,0,999999,,0,0,Y,CN,2,N,N,2984664,AZ,MDV,,HERITAGE,LN,E,35,,0,,25,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,4863,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ914612733,AZ,,YO,914612733,2253552409,2253552409,Y,DIXON,KAMARI,Y,TC,1700,0,1/6/2024,1427,2024,4,21,,361104,0,0,999999,,0,0,Y,CN,2,N,N,6000180,AZ,BHC,,SOMERSET,DR,,1041,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,C,,,,814384,9944,END,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ977474895,AZ,,CD,977474895,4477302286,4477302286,Y,FREEMAN,LANDON,N,,0,0,1/24/2024,1450,2024,5,22,,715333,0,0,999999,,0,0,Y,CN,2,N,N,2292415,AZ,GVY,,CEMETERY,TRL,S,6164,,0,,5,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,3571,RQC,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA103282575,CA,,CD,103282575,8587709195,8587709195,Y,MASON,MYLEE,N,,0,0,1/14/2024,849,2024,4,22,,733447,0,0,999999,,0,0,Y,CN,2,N,N,767262,CA,ELK,,CHESTNUT,CT,,10350,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,,,,,92606,2882,RQC,1,FIBER TO CURB,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA127984611,CA,,CD,127984611,5124910547,5124910547,N,HUDSON,CHARLEE,,,0,0,1/10/2024,1341,2024,4,18,,498590,717,0,77777,,0,0,N,CN,2,N,N,6427921,CA,SAC,,WEST,RD,,6600,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,9076,***,1,,N,0,0,N,0,0,N,0,0,,,,,,0,0,0,Y,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA133770704,CA,,CD,133770704,7202299285,7202299285,Y,WILKERSON,KOEN,N,,0,0,1/8/2024,1003,2024,5,24,,961450,0,0,999999,,0,0,Y,CN,2,N,N,2569179,CA,SAC,,LINDA,WY,,7735,,0,,28,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,5721,END,1,DSL,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA150709393,CA,,CD,150709393,1376985558,1376985558,Y,HARRISON,CORA,N,,0,0,1/21/2024,1526,2024,4,18,,534693,0,0,999999,,0,0,Y,CN,2,N,N,92725,NV,EKO,,6TH,AVE,,814,,0,,22,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,1539,RQC,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA151337793,CA,,CD,151337793,1379277028,1379277028,Y,GRIFFITH,KAMRON,N,,0,0,1/16/2024,1514,2024,4,1,,269696,0,0,999999,,0,0,Y,CN,2,N,N,7072520,CA,ALT,,CEDAR,ST,N,1309,,0,,22,,,,,,,,,,,,,,,,,,,,,1,,,,,,56076,8933,RQC,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA153388794,CA,,CR,153388794,9739777746,9739777746,Y,RHODES,HASSAN,N,TC,1700,12,1/15/2024,1416,2024,4,12,,564606,0,0,999999,,0,0,Y,CN,2,N,N,5305701,UT,DEL,,CEDAR,,W,1955,,0,,25,,,,,,,,,,,,,,,,,,,,,2,,R,,,,0,2593,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA157085372,CA,,CD,157085372,9885544120,9885544120,Y,CRUZ,ADRIAN,N,,0,0,1/20/2024,1519,2024,4,11,,859077,1130,0,0,,0,0,N,CN,2,N,N,2134674,CA,LNG,,COURT,,,2005,,0,,15,,,,,,,,,,,,,,,,,,,,,1,,S,,,,0,5876,***,1,,N,0,0,N,0,0,N,0,0,,N,N,N,N,0,0,0,Y,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA162949256,CA,,RC,162949256,5528528922,5528528922,Y,SPARKS,TONY,Y,RESSH,1700,0,1/16/2024,1401,2024,4,11,,309336,1230,60828,60828,,0,0,Y,CN,2,N,N,7988445,CA,MON,,MAIN,DR,,30272,,0,,10,,,,,,,,,,,,,,,,,,,,,1,,C,,,,408281,1654,MQC,1,,N,0,0,C,20130108,204233,N,0,0,*FRMCHG,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,Y,HI,,,P,INF_BATCH_USER,1/13/2023 2:00
CA184032426,CA,,RO,184032426,3357547351,3357547351,Y,OSBORN,VICENTE,Y,RESSH,1700,0,1/13/2024,1441,2024,4,18,,856872,0,0,999999,,0,0,Y,CN,2,N,N,215823,CA,PSN,,LAKE,AV,,544,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,C,,,,62986,4390,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA184881506,CA,,TD,184881506,7772797550,7772797550,Y,ROACH,MALIYAH,N,TC,1700,1,1/8/2024,1507,2024,4,9,,631182,0,0,999999,,0,0,Y,RS,2,N,N,1149315,CA,WIM,,RAILROAD,,,451,,0,,12,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,9957,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA186976759,CA,,CR,186976759,8900058018,8900058018,Y,RUIZ,CHARLIZE,N,RESSH,1700,10,1/2/2024,1513,2024,4,24,,736216,0,0,999999,,0,0,Y,CN,2,N,N,4614105,CA,CLB,,POPLAR,AV,,35910,,0,,28,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,1925,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA192934160,CA,,CD,192934160,1515771469,1515771469,Y,COLLIER,KANE,N,,0,0,1/24/2024,1441,2024,5,6,,739722,0,0,999999,,0,0,Y,CN,2,N,N,9114059,AZ,CIA,,FRANKLIN,AVE,S,1765,58,0,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,508454,5990,END,1,,A,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA198158744,CA,,RI,198158744,7021550551,7021550551,Y,ZIMMERMAN,KARINA,Y,RESSH,1700,0,1/14/2024,1354,2024,4,25,,744317,0,0,999999,,0,0,Y,CN,2,N,N,9329342,CA,ELK,,WARREN,DR,,9630,,0,,20,,,,,,,,,,,,,,,,,,,,,1,A,C,,,,914914,3511,MQC,1,,E,0,0,N,0,0,N,0,0,,A,,,Y,0,0,0,N,0,0,,N,200,0,0,0,0,,HI,,,P,INF_BATCH_USER,1/13/2023 2:00
CA207371372,CA,,DI,207371372,8792108315,8792108315,N,BAILEY,SHARON,Y,RESSH,1700,0,1/2/2024,1119,2024,4,22,,854563,1812,401974,401974,,0,0,N,CN,2,N,N,8055564,,,,JACKSON,,,0,,0,,21,,,,,,,,,,,,,,,,,,,,,1,A,,,,,400019,2594,END,0,,N,0,0,C,20220120,171635,N,0,0,,M,,,,0,0,0,N,0,0,,N,200,0,0,0,0,Y,,,,P,INF_BATCH_USER,1/13/2023 2:00
CA223940304,CA,,CD,223940304,8333927257,8333927257,Y,CRANE,TRINITY,N,,0,0,1/16/2024,1420,2024,4,25,,808851,0,0,999999,,0,0,Y,CN,2,N,N,2047198,AZ,LKS,,MILL,TRL,,1426,,0,,1,,,,,,,,,,,,,,,,,,,,,1,,X,,,,914817,5956,RQC,1,,N,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,Y,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
