id,BILL_SUB_SYS,ORDER TYPE,ORDER NUMBER,CUSTOMER CONTACT NUMBER,LAST NAME,FIRST NAME,ACTIVE CONTACT DATE,RESIDENTIAL Y/N,STATE,CITY,SUBDIVISION,STREET NAME,STREET SUBTITLE,STREET NUMBER
CA452863901,CA,Mobile,452863901,4275796456,WALLACE,ANABELLA,20240127,N,CA,NDL,,1ST,,301
CA455366120,CA,Mobile,455366120,7526902107,ROGERS,TRIPP,20240103,Y,CA,RIO,,WOODLAND,DR,316
CA460843191,CA,Phone,460843191,6768373617,GARCIA,CAYLEE,20240102,Y,AZ,GAN,,BROADWAY,,901
CA476098994,CA,Web,476098994,8553263167,BRIGHT,VAN,20240107,Y,AZ,RDV,,COLONIAL,,93
CA476188963,CA,Phone,476188963,9927636808,GOODMAN,MOHAMMAD,20240108,Y,AZ,SHW,,COOPER,LN,591
CA478652405,CA,Web,478652405,9750564951,WEEKS,DORIAN,20240112,Y,CA,SAC,,LAFAYETTE,WY,9965
CA484397424,CA,Mobile,484397424,1348534785,COLLIER,MAXIMUS,20240105,N,UT,BLG,,JONES,ST,200
CA484806648,CA,Phone,484806648,6742176699,STEELE,NATALIE,20240102,Y,CA,CTL,,FOREST,RD,11625
CA488971780,CA,Phone,488971780,1576749894,CHEN,DWAYNE,20240114,Y,NM,SHK,,GLENWOOD,,1470
CA489255002,CA,Phone,489255002,9859291831,WALSH,ARYAN,20240112,N,CA,ELK,,CHARLES,BL,8637
CA494641846,CA,Web,494641846,9563408575,GILLESPIE,JOHAN,20240104,Y,AZ,LEU,,UNION,,14
CA497326467,CA,Phone,497326467,6440142397,MERRITT,CLARE,20240123,Y,CA,LAP,,WASHINGTON,DR,1275
CA517745587,CA,Phone,517745587,1465990596,RAMSEY,BOSTON,20240105,Y,AZ,LUK,,4TH,,7
CA520421009,CA,Phone,520421009,3666569830,VEGA,MARLEY,20240131,Y,CA,MCA,,JONES,RD,29277
CA522578855,CA,Mobile,522578855,7344775463,BUCHANAN,FRANCISCO,20240119,Y,CA,ELK,,EAGLE,DR,10288
CA537729136,CA,Web,537729136,5774327728,DAVIDSON,DAMION,20240103,Y,CA,BUR,,BUCKINGHAM,AV,36770
CA538101021,CA,Web,538101021,8191586646,MAY,ALLAN,20240111,Y,CA,SHI,,OLD,DR,7295
CA538173894,CA,Mobile,538173894,4025903452,SULLIVAN,BRENNEN,20240129,Y,AZ,NUT,,VALLEY,,1
CA542088687,CA,Mobile,542088687,5096426860,YATES,EZEQUIEL,20240111,Y,AZ,FOD,,STATE,,702
CA556259316,CA,Mobile,556259316,8904566023,CABRERA,DAMARI,20240131,Y,AZ,WRK,,3RD,,102
CA565320040,CA,Mobile,565320040,5385244975,HAYES,JOAQUIN,20240111,N,,,,WOOD,,0
CA566304384,CA,Web,566304384,1965329352,PETERSON,ZARIA,20240123,Y,AZ,KAY,,BRIDLE,,3022
CA567650390,CA,Web,567650390,6365235617,TATE,ANN,20240103,Y,CA,CHE,,CHERRY,RD,701
CA568390822,CA,Phone,568390822,2814880948,HO,MUHAMMAD,20240112,N,CA,ARB,,MONROE,,540
CA586506822,CA,Mobile,586506822,5246836605,RIDDLE,VALENTINO,20240102,N,CA,WSW,,FULTON,,100
CA589877882,CA,Mobile,589877882,6340485199,BYRD,BAILEY,20240101,Y,CA,ELK,,CAMBRIDGE,WY,9293
CA590068086,CA,Web,590068086,5339285657,COOKE,CAMDEN,20240101,N,,,,CHARLES,,0
CA594785127,CA,Phone,594785127,6081762501,WARD,JOURNEY,20240126,Y,CA,WLY,,CAMBRIDGE,AV,8807
CA595489684,CA,Phone,595489684,1776297676,RICHMOND,MAURICE,20240120,N,NV,EKO,,EUCLID,ST,762
CA598773024,CA,Web,598773024,3250193459,DAVID,BRENNAN,20240108,Y,CA,ELK,,ADAMS,WY,9891
CA600505754,CA,Web,600505754,6269636448,MARTIN,SALVATORE,20240109,Y,AZ,LUK,,EVERGREEN,,410
CA604560141,CA,Mobile,604560141,6346411567,PETERSEN,LYRIC,20240125,N,AZ,EGR,,12TH,ST,367
CA625947117,CA,Web,625947117,3113540656,ARNOLD,KIRSTEN,20240103,Y,CA,CHE,,MAIN,DR,179
CA629215297,CA,Phone,629215297,7663450958,ROBERTSON,KELSEY,20240101,N,CA,ELK,,ROUTE,DR,9650
CA631655499,CA,Web,631655499,5114472755,ROBERSON,BENNETT,20240101,N,CA,ELK,,EDGEWOOD,BL,9170
CA634741626,CA,Mobile,634741626,5883438946,BOLTON,MIKE,20240126,Y,AZ,CHI,,DEVON,,52
CA637097608,CA,Mobile,637097608,9150819918,HOUSTON,EVAN,20240131,Y,NM,TWL,,WASHINGTON,,5
CA637938510,CA,Phone,637938510,6051564294,WALKER,AMERICA,20240126,Y,NV,EKO,,SYCAMORE,ST,204
CA638431862,CA,Web,638431862,6316136045,LOPEZ,PIERCE,20240128,N,CA,SAC,,ROBERTS,RD,6600
CA643227344,CA,Web,643227344,4208624026,HOUSTON,KYLER,20240125,N,CA,BIE,,ROUTE,ST,400
CA653033305,CA,Mobile,653033305,7350420389,CHARLES,GIANCARLO,20240118,N,AZ,SHW,,CAMBRIDGE,,1901
CA654760229,CA,Web,654760229,5791151371,TERRY,KIARA,20240112,N,UT,BLG,,OLD,ST,200
CA660572794,CA,Phone,660572794,9389637222,FISHER,JONATHAN,20240103,N,AZ,STM,,PEARL,,0
CA676419486,CA,Web,676419486,1299491130,DANIELS,CHANEL,20240105,N,UT,MTC,,SPRUCE,ST,117
CA700010071,CA,Phone,700010071,4633739901,BARRY,MARINA,20240118,N,CA,FRM,,HARTFORD,RD,24500
CA701777776,CA,Phone,701777776,8847449519,DODSON,KYLEIGH,20240122,Y,AZ,SHW,,FRANKLIN,RD,3860
CA710853185,CA,Mobile,710853185,2939406479,WELCH,MARLON,20240122,N,CA,SUS,,HOLLY,LN,1405
CA711233162,CA,Web,711233162,7600020435,LOGAN,DEMETRIUS,20240124,N,CA,ELK,,12TH,CT,8533
CA712412262,CA,Web,712412262,2264596059,HURST,JUDAH,20240113,N,CA,SUS,,WASHINGTON,,699165
CA722581320,CA,Mobile,722581320,5613857117,RIDDLE,AVA,20240103,N,CA,SUS,,ASPEN,,607
CA724110691,CA,Phone,724110691,1977536843,HO,TYSHAWN,20240107,N,CA,SAC,,LINCOLN,DR,7500
CA730508903,CA,Web,730508903,8962681153,LUNA,RAUL,20240111,Y,CA,ALT,,WOODLAND,ST,309
CA733510087,CA,Phone,733510087,7317672018,CHASE,MELANIE,20240131,N,AZ,STM,,JONES,,0
CA740394516,CA,Web,740394516,7193015323,BRANDT,ESPERANZA,20240131,N,CA,COS,,RIVER,,421
CA749127396,CA,Mobile,749127396,2982854595,ROSE,MAXIMO,20240103,Y,CA,ELK,,BUTTONWOOD,CIR,9208
CA752846171,CA,Mobile,752846171,2306243516,BOWEN,KIANNA,20240128,Y,CA,ARB,,6TH,AV,11
CA764640688,CA,Phone,764640688,1221305868,HENSLEY,ARIELLE,20240111,N,AZ,TBC,,WINDING,,122
CA767966940,CA,Web,767966940,2330773101,BAXTER,JAVIER,20240112,Y,AZ,SHW,,PARK,,2786
CA791813861,CA,Mobile,791813861,7043218923,FERRELL,REILLY,20240114,Y,NV,EKO,,MAIN,RD,101
CA807219177,CA,Web,807219177,9356731255,SUTTON,LEIA,20240111,Y,CA,SAC,,3RD,WY,7635
CA814045156,CA,Web,814045156,7106385689,HARDING,KORBIN,20240116,Y,CA,SUS,,6TH,,135
CA814438286,CA,Web,814438286,5818798440,PARKER,IRIS,20240120,Y,AZ,EGR,,HILLCREST,ST,213
CA821090553,CA,Phone,821090553,2045035952,BARTLETT,KINLEY,20240131,N,,,,FRONT,,0
CA872675217,CA,Mobile,872675217,1165942706,YORK,VERONICA,20240109,Y,CA,BEL,,SHADY,RD,20785
CA875680186,CA,Phone,875680186,8362592271,MOSS,JAMIE,20240113,Y,CA,COS,,HERITAGE,,640
CA877630127,CA,Mobile,877630127,3030560650,RYAN,JAMARION,20240111,Y,NM,TWL,,ACADEMY,,3
CA878701155,CA,Web,878701155,5237621553,REILLY,LIAM,20240120,N,CA,ELK,,CENTER,WY,8380
CA879460670,CA,Phone,879460670,3011632542,HAHN,SHAYLA,20240110,Y,CA,ELK,,CENTRAL,DR,5201
CA880670695,CA,Web,880670695,1891800148,JACOBS,NATALYA,20240101,Y,NV,PVL,,3RD,RD,121
CA887704391,CA,Phone,887704391,6422887800,RICHMOND,GLORIA,20240126,Y,AZ,TYE,,ATLANTIC,,95
CA893807107,CA,Web,893807107,6700400300,BLANCHARD,QUENTIN,20240128,N,CA,CHE,,MAIN,RD,1
CA907811121,CA,Web,907811121,3467501468,HOBBS,BOBBY,20240124,Y,NM,NAJ,,WARREN,BLV,18
CA910782525,CA,Mobile,910782525,2529845213,SHIELDS,ISABELL,20240102,Y,NV,EKO,,LAFAYETTE,DR,1525
CA919760124,CA,Web,919760124,3335759523,EDWARDS,ELIANA,20240127,Y,NM,TOH,,MADISON,,434
CA932365651,CA,Phone,932365651,3475676561,WILLIAMSON,BRUCE,20240121,Y,UT,MOB,,GRAND,CT,2810
CA937111125,CA,Web,937111125,3739846995,BURKE,MAEVE,20240128,Y,AZ,VRN,,WALNUT,,22
CA937589668,CA,Web,937589668,7223454295,CAMPOS,CATHERINE,20240105,Y,CA,BIE,,LAUREL,,657300
CA948815963,CA,Mobile,948815963,3904237988,BANKS,KRISTIAN,20240110,Y,CA,PAL,,CLARK,DR,24156
CA953894654,CA,Mobile,953894654,1552351440,LARSEN,MARELI,20240104,Y,CA,ELK,,COTTAGE,CIR,5572
CA962339933,CA,Web,962339933,7255757367,LEE,KRISTOPHER,20240123,Y,NV,EKO,,MAIDEN,ST,552
CA971667812,CA,Phone,971667812,3419941699,AUSTIN,AMIRAH,20240104,Y,CA,BUR,,IVY,,20340
CA987278910,CA,Mobile,987278910,2283044918,MCGEE,CLARA,20240105,Y,NV,SPC,,HOLLY,DR,678
CA988663694,CA,Mobile,988663694,2049985332,REEVES,JACE,20240114,Y,CA,WIL,,6TH,LN,8683
CA989120027,CA,Web,989120027,3084337297,VILLANUEVA,DEAN,20240108,Y,AZ,KAY,,SHERMAN,,136
CA993942648,CA,Mobile,993942648,7794496964,GARDNER,BLAKE,20240124,N,NM,SHK,,CHURCH,,19
CT100911258,CT,Web,100911258,9157940587,SANCHEZ,SONIA,20240120,Y,CT,EHV,,GLENWOOD,TER,20
CT101241286,CT,Phone,101241286,6822394426,PARSONS,MAURICIO,20240102,Y,CT,HAR,,AMHERST,ST,430
CT101783677,CT,Web,101783677,9032715045,FOX,ELENA,20240128,N,CT,RID,,CLEVELAND,RD,175
CT102590700,CT,Mobile,102590700,4442203409,BUCK,MARIN,20240123,Y,CT,EHV,,SHEFFIELD,AVE,34
CT103267413,CT,Mobile,103267413,7431511595,HESS,LEYLA,20240104,N,CT,HAR,,ROUTE,ST,10
CT106213484,CT,Mobile,106213484,3115091972,COOPER,IBRAHIM,20240126,Y,CT,CLI,,11TH,TPK,219
CT106256881,CT,Web,106256881,5039290111,HERRING,TERRANCE,20240114,Y,CT,HAR,,FRONT,ST,285
CT106298463,CT,Phone,106298463,4569693678,MENDEZ,ADRIEN,20240125,N,CT,NHA,,BUTTONWOOD,RD,254
CT106756663,CT,Web,106756663,2747432711,BYRD,KEYLA,20240115,N,CT,STR,,3RD,,40
CT106953417,CT,Mobile,106953417,5850239010,LIU,OMARI,20240121,Y,CT,STR,,FRONT,RD,52
CT106954585,CT,Web,106954585,1991331032,NORMAN,DAYANA,20240111,N,CT,NWM,,VIRGINIA,ST,21
CT107716891,CT,Web,107716891,2598067194,TRUJILLO,MAGGIE,20240114,Y,CT,CRO,,CARDINAL,RD,12
CT108198271,CT,Web,108198271,2453300780,WILKINS,LANDEN,20240109,Y,CT,BRI,,SUMMER,ST,226
CT112138678,CT,Mobile,112138678,1880158407,PITTS,DANNA,20240108,Y,CT,NHV,,MANOR,ST,76
CT113873835,CT,Web,113873835,1724679602,KRAMER,LEE,20240131,N,CT,MER,,PARK,ST,110
CT116037122,CT,Web,116037122,7340658942,FREEMAN,KASEY,20240124,Y,CT,BRO,,ROUTE,LN,4
CT119154598,CT,Web,119154598,9979547690,RICHARDS,CAMRON,20240123,N,CT,WLK,,HARRISON,LN,84
CT124162242,CT,Mobile,124162242,1131371287,CHANEY,DAX,20240102,N,CT,WAL,,GRANT,ST,145
CT125232955,CT,Phone,125232955,2984831361,ARMSTRONG,MARGARET,20240129,Y,CT,EHT,,HICKORY,ST,97
CT125364418,CT,Web,125364418,7967728484,BARRY,JAKAYLA,20240126,N,CT,NWM,,WEST,RD,388
CT126083535,CT,Web,126083535,7125139540,NUNEZ,LILIAN,20240102,Y,CT,GRO,,MYRTLE,RD,25
CT129610351,CT,Mobile,129610351,5758236362,BRADY,YARETZI,20240122,N,CT,HAR,,GEORGE,ST,300
CT130565639,CT,Web,130565639,8547463979,DAVENPORT,SERENA,20240103,Y,CT,SMD,,10TH,AVE,49
CT133241242,CT,Web,133241242,2798698033,CISNEROS,MARISA,20240129,Y,CT,VER,,LAUREL,DR,69
CT133624535,CT,Mobile,133624535,6269005602,LE,ALYSON,20240114,N,CT,BRP,,BAY,DR,516
CT135332408,CT,Phone,135332408,7134180683,SCHULTZ,KADEN,20240105,Y,CT,NWM,,EVERGREEN,VLG,112
CT136370604,CT,Web,136370604,8840170479,MORGAN,CHARLOTTE,20240119,Y,CT,NWK,,EAGLE,RD,18
CT137734499,CT,Web,137734499,3537129311,HAAS,CAYLEE,20240117,N,CT,SNG,,CENTER,DR,122
CT138930073,CT,Web,138930073,8418189085,MURPHY,SANAI,20240116,Y,CT,NHV,,FRANKLIN,RD,58
CT139783034,CT,Phone,139783034,8590985764,KIM,RENE,20240116,Y,CT,SWI,,FAIRVIEW,ST,672
CT143664129,CT,Mobile,143664129,4852263806,FORBES,MALLORY,20240114,N,CT,PUT,,OAK,ST,182
CT144625112,CT,Mobile,144625112,1024441379,BURKE,MALIK,20240127,N,CT,GUI,,6TH,ST,90
CT145928800,CT,Phone,145928800,3122133963,TYLER,MADDISON,20240126,Y,CT,WCR,,EDGEWOOD,ST,184
CT148124889,CT,Phone,148124889,6899784653,JENSEN,AUTUMN,20240130,Y,CT,GRI,,TAYLOR,TER,31
CT149427534,CT,Mobile,149427534,2249327141,MANN,ALLY,20240131,Y,CT,WHV,,HILLSIDE,ST,200
CT153204689,CT,Web,153204689,1856841029,CHERRY,ADRIANNA,20240102,Y,CT,WHV,,EVERGREEN,ST,17
CT155679352,CT,Web,155679352,4090895124,HARTMAN,ADONIS,20240107,Y,CT,BRO,,HIGHLAND,CT,11
CT157476142,CT,Mobile,157476142,6039327427,VALENTINE,SEAMUS,20240101,N,,,,FRONT,,0
CT164310592,CT,Mobile,164310592,7929765933,BUCK,REESE,20240107,N,CT,DAN,,7TH,DR,37
CT166693888,CT,Phone,166693888,7235492496,LEON,FREDDY,20240106,N,CT,HAR,,ANN,AVE,165
CT167329131,CT,Phone,167329131,3988915834,LUCERO,MATTHIAS,20240104,N,,,,FOREST,,0
CT167892503,CT,Web,167892503,9991029868,HICKS,LEONIDAS,20240114,Y,CT,BRK,,2ND,RD,72
CT168324379,CT,Web,168324379,9214023186,LUNA,ELIAN,20240121,N,CT,NBR,,CLINTON,AVE,2081
CT171020082,CT,Phone,171020082,6802982863,HOBBS,KARTER,20240107,N,CT,CRO,,INVERNESS,DR,55
CT171099007,CT,Phone,171099007,3147704698,MERCADO,ZACHARIAH,20240113,Y,CT,CLC,,WILLOW,RD,164
CT171968617,CT,Phone,171968617,6458818509,ARIAS,ARTURO,20240108,N,CT,WLK,,MYRTLE,DR,403
CT173109859,CT,Phone,173109859,2889834434,HUERTA,KATELYN,20240131,Y,CT,STR,,PENN,ST,263
CT176510437,CT,Mobile,176510437,4209840853,WADE,JOYCE,20240113,N,CT,WPT,,SUNSET,ISL,1
CT177488267,CT,Mobile,177488267,3074433067,WARE,MALIYAH,20240125,Y,CT,NWK,,HOLLY,AVE,43
CT177548342,CT,Phone,177548342,5950683296,WEST,SHARON,20240104,Y,CT,PRO,,VICTORIA,ST,227
CT177888752,CT,Web,177888752,7417124177,PHILLIPS,LEONARDO,20240122,Y,CT,EHT,,HAWTHORNE,ST,126
CT179413604,CT,Phone,179413604,3845587891,SALAS,JESSIE,20240121,Y,CT,GRA,,ROUTE,RD,131
CT179803558,CT,Phone,179803558,9937437365,BULLOCK,NIA,20240121,Y,CT,SHE,,ATLANTIC,AVE,3
CT183344050,CT,Web,183344050,6794593405,MERCADO,ELYSE,20240116,N,CT,WLL,,LILAC,ST,1703
CT183825655,CT,Phone,183825655,7227071924,MCLEAN,MACKENZIE,20240113,N,,,,IVY,,0
CT184341826,CT,Web,184341826,3101348320,WALLER,ELIJAH,20240114,N,CT,BRP,,5TH,ST,4270
CT185567093,CT,Mobile,185567093,9089569534,OWEN,TREVON,20240111,N,CT,NGN,,GEORGE,DR,25
CT186780717,CT,Phone,186780717,2618570644,VILLANUEVA,RYLEE,20240131,N,CT,SMD,,ROUTE,RD,345
CT186835635,CT,Mobile,186835635,2577045277,SELLERS,JAMISON,20240119,N,,,,WALNUT,,0
CT187120087,CT,Mobile,187120087,8410022207,HINES,ELLIOTT,20240122,N,CT,BEL,,BRIDLE,DR,14
CT190708915,CT,Web,190708915,5652822632,WEAVER,LILIAN,20240110,N,CT,WSR,,INVERNESS,EXT,1985
CT193122093,CT,Mobile,193122093,3391286806,MCDANIEL,KAYLIE,20240120,Y,CT,SHE,,WASHINGTON,ST,77
CT193835378,CT,Phone,193835378,2197510104,MORROW,ELISHA,20240117,Y,CT,WHV,,2ND,ST,343
CT193996573,CT,Web,193996573,4218009156,GILBERT,DASHAWN,20240108,N,CT,NHV,,ROUTE,ST,1450
CT195025759,CT,Web,195025759,3018075389,PECK,MARYJANE,20240102,N,,,,LAUREL,,0
CT196685997,CT,Phone,196685997,6848280648,WILEY,SAMSON,20240125,Y,CT,WIL,,ROUTE,RD,435
CT196733338,CT,Mobile,196733338,9702141025,VAUGHN,JOANNA,20240108,Y,CT,ELY,,RIDGE,RD,15
CT197272085,CT,Web,197272085,7454850251,WIGGINS,KATELYN,20240128,Y,CT,HAR,,GRANT,AVE,301
CT197701409,CT,Mobile,197701409,6986334842,GREENE,KIERAN,20240107,Y,CT,FAI,,LINCOLN,RD,58
CT197985927,CT,Phone,197985927,1713862562,LIU,ADDYSON,20240117,N,,,,8TH,,0
CT200423746,CT,Phone,200423746,1905189321,HUYNH,ALIVIA,20240118,N,CT,NHV,,CHERRY,AVE,50
CT200792141,CT,Phone,200792141,6549376677,GALLAGHER,DREW,20240115,N,CT,NWL,,OXFORD,ST,26
CT204877485,CT,Web,204877485,2400401257,HEBERT,DONTE,20240131,N,CT,HAR,,ROOSEVELT,ST,55
